,N,bad_lin_time,av_lin_time,av_log_time,bad_log_time
0,100,19,23,6,5
1,50100,8811,8699,9,8
2,100100,17275,17523,9,8
3,150100,26612,25747,9,8
4,200100,34371,34324,9,9
5,250100,43043,42968,9,8
6,300100,51391,51424,10,9
7,350100,56987,60061,9,10
8,400100,68542,68601,9,9
9,450100,78131,78836,9,9
10,500100,85777,86601,9,9
11,550100,94362,95585,10,9
12,600100,104122,104059,9,9
13,650100,112655,114940,10,9
14,700100,121657,121323,10,9
15,750100,132628,129837,9,9
16,800100,137525,138760,10,10
17,850100,146217,147711,10,9
18,900100,154662,156359,9,9
19,950100,163438,165012,10,9
20,1000100,172238,174083,10,10
